geoid,countyname,schoolregion
06001,Alameda,SF Bay Area
06003,Alpine,N San Joaquin Valley
06005,Amador,N San Joaquin Valley
06007,Butte,Superior
06009,Calaveras,N San Joaquin Valley
06011,Colusa,Superior
06013,Contra Costa,SF Bay Area
06015,Del Norte,North Coast
06017,El Dorado,Superior
06019,Fresno,S San Joaquin Valley
06021,Glenn,Superior
06023,Humboldt,North Coast
06025,Imperial,SD - Imperial
06027,Inyo,S San Joaquin Valley
06029,Kern,S San Joaquin Valley
06031,Kings,S San Joaquin Valley
06033,Lake,North Coast
06035,Lassen,Superior
06037,Los Angeles,LA County
06039,Madera,N San Joaquin Valley
06041,Marin,SF Bay Area
06043,Mariposa,N San Joaquin Valley
06045,Mendocino,North Coast
06047,Merced,N San Joaquin Valley
06049,Modoc,Superior
06051,Mono,N San Joaquin Valley
06053,Monterey,Central Coast
06055,Napa,North Coast
06057,Nevada,Superior
06059,Orange,Orange County
06061,Placer,Superior
06063,Plumas,Superior
06065,Riverside,Inland Empire
06067,Sacramento,Superior
06069,San Benito,Central Coast
06071,San Bernardino,Inland Empire
06073,San Diego,SD - Imperial
06075,San Francisco,SF Bay Area
06077,San Joaquin,N San Joaquin Valley
06079,San Luis Obispo,Central Coast
06081,San Mateo,SF Bay Area
06083,Santa Barbara,Central Coast
06085,Santa Clara,SF Bay Area
06087,Santa Cruz,Central Coast
06089,Shasta,Superior
06091,Sierra,Superior
06093,Siskiyou,Superior
06095,Solano,SF Bay Area
06097,Sonoma,North Coast
06099,Stanislaus,N San Joaquin Valley
06101,Sutter,Superior
06103,Tehama,Superior
06105,Trinity,North Coast
06107,Tulare,S San Joaquin Valley
06109,Tuolumne,N San Joaquin Valley
06111,Ventura,Central Coast
06113,Yolo,Superior
06115,Yuba,Superior
