geoid,transfer_factor_proximity
06011,.56756759
06091,.56756759
06067,.56756759
06021,.56756759
06115,.56756759
06101,.56756759
06113,.56756759
06063,.56756759
06035,.56756759
06093,.56756759
06061,.56756759
06049,.56756759
06057,.56756759
06017,.56756759
06007,.56756759
06103,.56756759
06089,.56756759
06023,.64516127
06055,.64516127
06097,.64516127
06105,.64516127
06045,.64516127
06015,.64516127
06033,.64516127
06095,.47468355
06013,.47468355
06001,.47468355
06081,.47468355
06085,.47468355
06075,.47468355
06041,.47468355
06099,.5
06043,.5
06047,.5
06009,.5
06109,.5
06051,.5
06039,.5
06005,.5
06003,.5
06069,.51923078
06087,.51923078
06111,.51923078
06079,.51923078
06083,.51923078
06053,.51923078
06107,.49689442
06019,.49689442
06029,.49689442
06027,.49689442
06031,.49689442
06065,.45454547
06071,.45454547
06037,.43573669
06059,.53465348
06025,.4054054
06073,.4054054
06077,.54545456
